Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
Skill_70828_Desc,aQCM,j技能表_Skill_A.csv,76,Skill,Desc,,选择一名唤醒体获得 [Arg1] 点狂气，对所有敌人施加 [Arg2] 层<IntoxicationIconKeywords:中毒>，目标每损失 1％ 生命额外触发 1％ 中毒，至多触发 50％中毒。,"Grant a chosen Awakener <Energy:[Arg1]> Aliemus, and inflict [Arg2] <IntoxicationIconKeywords:Poison> on each enemy. For each 1% of HP each enemy is missing, trigger 1% of their <IntoxicationIconKeywords:Poison>, up to 50%."
Skill_80194_Desc,bsBW,j技能表_Skill_A.csv,77,Skill,Desc,,回复 <Heal:[Heal:Arg1]> 点生命，获得 [Arg2] 点力量。若克莱门汀在队伍中，使她本回合下次打出的指令卡伤害、护盾、生命回复、获得狂气、获得银钥能量的效果次数提高 1。,"Recover <Heal:[Heal:Arg1]> HP and gain [Arg2] <PowerIconKeywords:STR>. If Clementine is in the team, add 1 additional instance of the following effects to her next Command Card: DMG, Shield, HP Recovery, Aliemus, and Keyflare."
Skill_84378_Desc,btTj,j技能表_Skill_A.csv,78,Skill,Desc,,获得 [Arg1] 点护盾，抽 [Arg2] 张牌。若克珀珊特在队伍中，还会将 1 张「领航」置入手中。,"Draw [Arg2] <plural value=""[Arg2]"" singular=""card"" plural=""cards"">. Gain <Block:[Arg1]> Shield. If Corposant is in the team, create 1 ""<DerivativeCardKeywords_106:Pilot>."""
Skill_90212_Desc,bxOS,j技能表_Skill_A.csv,79,Skill,Desc,,选择一名唤醒体使其获得 <Energy:[Energy:Arg3]> 点狂气，从抽牌堆中抽 [Arg2] 张算力消耗最低的卡牌。若卡斯托尔在队伍中，使其伤害强效临时提高 [Arg1]％。,"Grant a chosen Awakener <Energy:[Energy:Arg3]> Aliemus. Draw [Arg2] <plural value=""[Arg2]"" singular=""card"" plural=""cards""> with the lowest Arithmetica Cost from the Draw Pile. If Castor is in the team, increase his Temp. DMG Amplification by [Arg1]%."
Skill_94561_Desc,byFS,j技能表_Skill_A.csv,80,Skill,Desc,,<TouquKeywords:偷取>所有敌人 [Arg1] 点 <PowerIconKeywords:力量>。若杜勒赛因在队伍中，获得 1 个「残骸」。,"<TouquKeywords:Steal> [Arg1] <PowerIconKeywords:STR> from all enemies. If Doresain is in the team, he gains 1 ""Corpse."""
Skill_94561_BattleDesc,bCWd,j技能表_Skill_A.csv,80,Skill,BattleDesc,,临时降低所有敌人 [Arg1] 点<PowerIconKeywords:力量>，每有 1 名敌人获得 [Arg1] 点临时<PowerIconKeywords:力量>。若杜勒赛因在队伍中，获得 1 个「残骸」。,"For each enemy, inflict [Arg1] Temp. <ExhaustionIconKeywords:STR▼> on them and gain [Arg1] Temp. <PowerIconKeywords:STR>. If Doresain is in the team, he gains 1 ""Corpse."""
Skill_94560_Desc,byFQ,j技能表_Skill_A.csv,81,Skill,Desc,,从出战唤醒体的技能卡中<FaxianKeywords:发现> 3 张，选择 1 张将其临时复制置入手中，并使其算力消耗降低 1。若当前界域为「血肉」，可以选择「一扫而光！」。,"<FaxianKeywords:Discover> 1 of 3 basic Skill Commands from the Awakeners in the team; it has <DepleteIconKeywords:Exhaust>, and its Arithmetica Cost is reduced by 1. If the Realm includes Caro, you may choose ""Gobble Up!"""
Skill_70826_Desc,aQCy,j技能表_Skill_A.csv,83,Skill,Desc,,获得 <Block:[Block:Arg1]> 点护盾，获得 1 层「星辰庇佑」，最大积攒 5 层，战斗结束后不清除。,"Gain <Block:[Block:Arg1]> Shield and 1 stack of ""Stellar Protection."" Max 5 stacks. Stacks persist between battles."
Skill_70825_Desc,aQCr,j技能表_Skill_A.csv,84,Skill,Desc,,所有唤醒体获得 [Arg1] 点狂气。消耗所有「星辰庇佑」并获得与消耗层数相同的算力，若当前界域为「深海」，额外生成与消耗层数相同的临时触腕。,"Grant all Awakeners <Energy:[Arg1]> Aliemus. Consume all ""Stellar Protection."" For each stack consumed, gain 1 Arithmetica; if the Realm includes Aequor, also spawn that many Temporary Tentacles."
Skill_70827_Desc,aQCF,j技能表_Skill_A.csv,85,Skill,Desc,,选择一名唤醒体，使其指令卡暴击率和暴击伤害临时提高 [Arg1]% 并获得 [Arg2] 点狂气。若莉兹在队伍中，还会将 1 张附加「消耗」的「腐化绿炎」置入手中。,"Grant a chosen Awakener <Energy:[Arg2]> Aliemus. The Crit. Rate & Crit. DMG of their Command Cards +[Arg1]% this turn. If Liz is in the team, create 1  ""<DerivativeCardKeywords_19:Corrupted Flames>"" with <DepleteIconKeywords:Exhaust>."
Skill_77673_Desc,aQSB,j技能表_Skill_A.csv,86,Skill,Desc,,将 1 张<DerivativeCardKeywords_133:「莉雅的硬币」>置入弃牌堆。,"Create 1 <DerivativeCardKeywords_133:""Leah's Coin""> and put it into the Discard Pile."
Skill_97917_Desc,bCbf,j技能表_Skill_A.csv,87,Skill,Desc,,获得 1 点算力和 [Arg1]％ 临时强效。若凯蒂古拉在队伍中，抽 1 张其「指令卡」并赋予 1 层「<HuoyanKeywords:活焰>」,"Gain 1 Arithmetica and [Arg1]% Temp. DMG Amplification. If Kathigu-Ra is in the team, draw 1 of her cards and apply 1 stack of <HuoyanKeywords:Fiamma> to it."
Skill_97919_Desc,bBNs,j技能表_Skill_A.csv,88,Skill,Desc,,选择 1 名唤醒体，将 1 张算力消耗为 0 的临时「打击」置入手中。每第 3 次释放，改为将 1 张「美丽瞬间」置入手中，并使所有唤醒体临时暴击率提高 [Arg1]％。,"Choose an Awakener; create 1 of their basic Strike Commands. It has <DepleteIconKeywords:Exhaust>. Every 3rd time this is unleashed, instead create 1 ""<DerivativeCardKeywords_40:Fleeting Beauty>"" and gain +[Arg1]% Temp. Crit. Rate."
Skill_97919_BattleDesc,bCmg,j技能表_Skill_A.csv,88,Skill,BattleDesc,,选择 1 名唤醒体，将 1 张算力消耗为 0 的临时「打击」置入手中。每第 3 次释放，改为将 1 张「美丽瞬间」置入手中，并使所有唤醒体临时暴击率提高 [Arg1]％(当前已释放 [Arg2] 次)。,"Choose an Awakener; create 1 of their basic Strike Commands. It has <DepleteIconKeywords:Exhaust>. Every 3rd time this is unleashed, instead create 1 ""<DerivativeCardKeywords_40:Fleeting Beauty>"" and gain +[Arg1]% Temp. Crit. Rate. ([Arg2]/3)"
Skill_100304_Desc,bCuK,j技能表_Skill_A.csv,89,Skill,Desc,,选择一名唤醒体获得 [Arg1] 点狂气，将 1 张 <DerivativeCardKeywords_4:「灵感」>洗入抽牌堆。若皮克曼在队伍中，使其获得 1 层「<Chuangyi:创意>」。,"Grant a chosen Awakener <Energy:[Arg1]> Aliemus, and shuffle 1 ""<DerivativeCardKeywords_4:Insight>"" into the Draw Pile. If Pickman is in the team, he gains 1 stack of ""<Chuangyi:Creativity>."""
Skill_116332_Desc,bHuz,j技能表_Skill_A.csv,90,Skill,Desc,,获得 <Block:[Block:Arg1]> 点护盾和等同于当前护盾 10％ 的临时<PowerIconKeywords:力量>。,Gain <Block:[Block:Arg1]> Shield and Temporary <PowerIconKeywords:STR> equal to 10% of your current Shield.
Skill_117757_Desc,bIBH,j技能表_Skill_A.csv,91,Skill,Desc,,抽 1 张牌并使其算力消耗-1，若抽到指令卡则使其拥有者获得 [Arg1]％ 临时暴击伤害。若波吕克斯在队伍中，获得 [Arg2] 层<ZuiyinKeywords:罪印>。,"Draw 1 card and reduce its Arithmetica Cost by 1. If a Command Card is drawn, its Awakener gains +[Arg1]% Temporary Crit. DMG. If Pollux is in the team, gain [Arg2] <plural value=""[Arg2]"" singular=""stack"" plural=""stacks""> of <ZuiyinKeywords:Sin Mark>."
Skill_120314_Desc,bKpm,j技能表_Skill_A.csv,92,Skill,Desc,,获得 1 点算力，对所有敌人施加 5 层<DwmofeiKeywords:降生仪式>。若「诞妄·墨菲」在队伍中，抽 1 张「螺湮圆舞」。,"Gain 1 Arithmetica, and inflict 5 stacks of <DwmofeiKeywords:Birth Ritual> on all enemies. If Murphy: Fauxborn is in the team, draw 1 ""Waltz of Lemuria."""
Skill_119835_Desc,bKgW,j技能表_Skill_A.csv,93,Skill,Desc,,从弃牌堆中选择 1 张指令卡移回手中。若「拉蒙娜」在队伍中，使其本回合打出的下一张指令卡生效 [Arg1] 次。,"Return 1 Command Card from the Discard Pile to your hand. The next Ramona Command Card played this turn takes effect [Arg1] <plural value=""[Arg1]"" singular=""time"" plural=""times"">."
Skill_123509_Desc,bLTc,j技能表_Skill_A.csv,94,Skill,Desc,,抽 2 张「打击」。若「茉夏」在队伍中，使它们算力消耗 -1。,"Draw 2 random Strike Commands. If Mouchette is in the team, reduce their Arithmetica Cost by 1."
Skill_126793_Desc,bNNQ,j技能表_Skill_A.csv,95,Skill,Desc,,获得 1 点算力并临时降低所有敌人 [Exhaustion:Arg1] 点<ExhaustionIconKeywords:力量>。若「徐」在队伍中，对所有敌人施加 1 层<WitherKeywords:痴醉>。,"Gain 1 Arithmetica and inflict [Exhaustion:Arg1] Temp. <ExhaustionIconKeywords:STR▼> on all enemies. If Xu is in the team, also inflict 1 stack of <WitherKeywords:Spellbound> on all enemies."
Skill_128689_Desc,bORE,j技能表_Skill_A.csv,96,Skill,Desc,,临时暴击率 +15%，获得 1 点算力。本场战斗首次释放时对所有敌人造成 [Arg3] 点<AshesPastKeyWord:旧日余烬>。,"Gain 1 Arithmetica and +15% Temporary Crit. Rate. The first time this is unleashed each battle, inflict [Arg3] <AshesPastKeyWord:Ancient Embers> on all enemies."
Skill_130240_Desc,bPLd,j技能表_Skill_A.csv,97,Skill,Desc,,选择一名唤醒体获得 [Arg1] 点狂气，其他唤醒体获得 [Arg2] 点狂气。若「莫丝」在队伍中，立刻释放「涡！流！弹！」进行追击。,"Grant a chosen Awakener <Energy:15> Aliemus, and all other Awakeners <Energy:5> Aliemus. If Vortice is in the team, she performs her Pursuit: ""Vortex! Shell!"""
Skill_134212_Desc,bSEt,j技能表_Skill_A.csv,98,Skill,Desc,,获得 [Arg1] 点护盾和 [Arg2]％ 临时伤害强效。若「阿拉克涅」在队伍中，抽 1 张「永恒织造」并使其算力消耗 -1。,"Gain <Block:[Arg1]> Shield and +[Arg2]% Temporary DMG Amplification. If Arachne is in the party, draw 1 ""Eternal Loom"" and reduce its Arithmetica Cost by 1."
Skill_55481_Desc,aPnF,j技能表_Skill_A.csv,105,Skill,Desc,,移除超维空间最左侧的卡牌，立刻将 1 张「灵感」置入手中。「湮灭」 1 回合只能使用 1 次。,"Destroy the leftmost card in Ultra Space, and create 1 ""<DerivativeCardKeywords_4:Insight>."" Annihilation can only be used once per turn."
Skill_55481_tempBattleDesc_1,bQQe,j技能表_Skill_A.csv,105,Skill,tempBattleDesc,,移除超维空间最左侧的卡牌，立刻将 1 张「灵感」置入手中。「湮灭」 1 回合只能使用 1 次。,"Destroy the leftmost card in Ultra Space, and create 1 ""<DerivativeCardKeywords_4:Insight>."" Annihilation can only be used once per turn."
Skill_55481_tempBattleDesc_2,bQQf,j技能表_Skill_A.csv,105,Skill,tempBattleDesc,,移除超维空间最左侧的卡牌，立刻将 1 张「灵感」置入手中。本回合奥尔拉下一张指令卡触发跃迁效果。「湮灭」 1 回合只能使用 1 次。,"Destroy the leftmost card in Ultra Space, and create 1 ""<DerivativeCardKeywords_4:Insight>."" Horla's next Command Card played this turn will trigger <TransitionIconKeywords:Leap>. Annihilation can only be used once per turn."
Skill_55481_tempBattleDesc_3,bQQg,j技能表_Skill_A.csv,105,Skill,tempBattleDesc,,取出超维空间最左侧的卡牌。3 回合冷却。,Pull the leftmost card out from Ultra Space and into your hand. 3-turn cooldown.
Skill_55481_tempBattleDesc_4,bSEZ,j技能表_Skill_A.csv,105,Skill,tempBattleDesc,,选择 1 张超维空间的指令卡取出，赋予「打出后额外生效 1 次」，使下 1 张打出的指令卡触发<SingularityKeywords3:维度穿梭>。3 回合冷却。,Pull a chosen card out from Ultra Space and into your hand; it takes effect twice when played. The next Command Card played triggers <SingularityKeywords3:Dimension Shuttle>. 3-turn cooldown.
Skill_55481_tempBattleDesc_5,bSFa,j技能表_Skill_A.csv,105,Skill,tempBattleDesc,,取出超维空间最左侧的卡牌。本回合奥尔拉下一张指令卡触发跃迁效果。3 回合冷却。,Pull the leftmost card out from Ultra Space and into your hand. Horla's next Command Card played this turn will trigger <TransitionIconKeywords:Leap>. 3-turn cooldown.
Skill_55481_tempBattleDesc_6,bSFb,j技能表_Skill_A.csv,105,Skill,tempBattleDesc,,选择 1 张超维空间的指令卡取出，赋予「打出后额外生效 1 次」，使下 1 张打出的指令卡触发<SingularityKeywords3:维度穿梭>。本回合奥尔拉下一张指令卡触发跃迁效果。3 回合冷却。,Pull a chosen card out from Ultra Space and into your hand; it takes effect twice when played. The next Command Card played triggers <SingularityKeywords3:Dimension Shuttle>. Horla's next Command Card played this turn will trigger <TransitionIconKeywords:Leap>. 3-turn cooldown.
Skill_55481_tempBattleDesc_7,bSFc,j技能表_Skill_A.csv,105,Skill,tempBattleDesc,,选择 1 张超维空间的指令卡取出，赋予「打出后额外生效 1 次」，使下 1 张打出的指令卡触发<SingularityKeywords3:维度穿梭>。立刻对所有敌人造成等同于 50％「命运裁断」的固定伤害，下次阿拉克涅狂气爆发造成的伤害强效和护盾提高 50％。3 回合冷却。,"Pull a chosen card out from Ultra Space and into your hand; it takes effect twice when played. The next Command Card played triggers <SingularityKeywords3:Dimension Shuttle>. For each enemy, deal <RealDamage:Fixed DMG> to them equal to 50% of their <CutKeywords:Final Verdict>. Shield and DMG Amplification gained from Arachne's next Exalt +50%. 3-turn cooldown."
Skill_55481_tempBattleDesc_8,bSFd,j技能表_Skill_A.csv,105,Skill,tempBattleDesc,,选择 1 张超维空间的指令卡取出，赋予「打出后额外生效 1 次」，使下 1 张打出的的指令卡触发<SingularityKeywords3:维度穿梭>。立刻对所有敌人造成等同于 50％「命运裁断」的固定伤害，下次阿拉克涅狂气爆发造成的伤害强效和护盾提高 50％。本回合奥尔拉下一张指令卡触发跃迁效果。3 回合冷却。,"Pull a chosen card out from Ultra Space and into your hand; it takes effect twice when played. The next Command Card played triggers <SingularityKeywords3:Dimension Shuttle>. Horla's next Command Card played this turn will trigger <TransitionIconKeywords:Leap>. For each enemy, deal <RealDamage:Fixed DMG> to them equal to 50% of their <CutKeywords:Final Verdict>. Shield and DMG Amplification gained from Arachne's next Exalt +50%. 3-turn cooldown."
Skill_24244_Desc,aLxp,j技能表_Skill_A.csv,138,Skill,Desc,,选择一名唤醒体，获得 50 狂气。但使「海德拉」获得 [Arg1] 点力量。,"Grant a chosen Awakener <Energy:50> Aliemus. ""Hydra"" gains [Arg1] <PowerIconKeywords:STR>."
Skill_4248_Desc,aMIA,j技能表_Skill_A.csv,139,Skill,Desc,,打出后受到 [Arg1] 点伤害，抽 2 张牌，将其<DepleteIconKeywords:消耗>。回合结束时若在手中，受到 [Arg2] 点伤害。,"Take <Damage:[Arg1]> DMG. Draw 2 cards. If in hand at turn end, take <Damage:[Arg2]> DMG."
Skill_4054_Desc,aMhA,j技能表_Skill_A.csv,140,Skill,Desc,,一种特殊的撕裂伤口。回合结束时若在手中，受到 [Arg1] 点伤害。弃掉时将其<DepleteIconKeywords:消耗>。,"A special type of wound. If in hand at turn end, take <Damage:[Arg1]> DMG. When discarded, <DepleteIconKeywords:Exhaust>."
Skill_4677_Desc,aOnz,j技能表_Skill_A.csv,145,Skill,Desc,,获得 1 点算力，抽 1 张牌。,Draw 1 card and gain 1 Arithmetica.
Skill_47484_Desc,aOwU,j技能表_Skill_A.csv,146,Skill,Desc,,获得 2 点算力，抽 2 张牌。,Draw 2 cards and gain 2 Arithmetica.
Skill_4374_Desc,aMYP,j技能表_Skill_A.csv,147,Skill,Desc,,一点小伤，无伤大体。受到 [Arg1] 伤害，抽 [Arg3] 张牌。,"A minor injury, nothing serious. Take <Damage:[Arg1]> DMG and draw [Arg3] <plural value=""[Arg3]"" singular=""card"" plural=""cards"">."
Skill_59665_Desc,aPBP,j技能表_Skill_A.csv,149,Skill,Desc,,战斗结束后仍会保存在牌库中。你已经被警卫发现了……,You've been discovered by the guards! Persists in the deck between battles.
Skill_4418_Desc,aNeQ,j技能表_Skill_A.csv,150,Skill,Desc,,战斗结束后仍会保存在牌库中。,Persists in the deck between battles.
Skill_4037_Desc,aMfz,j技能表_Skill_A.csv,153,Skill,Desc,,解除所有手牌的<SlowIconKeywords:迟缓>效果。,Cleanse <SlowIconKeywords:Stagnation> from all cards in hand.
Skill_4687_Desc,aOoF,j技能表_Skill_A.csv,154,Skill,Desc,,回合结束时若在手中，会将你尚在手中的牌变为<DerivativeCardKeywords_25:「石头」>。弃掉时将其<DepleteIconKeywords:消耗>。,"If in hand at turn end, other cards in your hand will be turned to <DerivativeCardKeywords_25:Stone>. When discarded, <DepleteIconKeywords:Exhaust>."
Skill_4647_Desc,aOjv,j技能表_Skill_A.csv,155,Skill,Desc,,它已经没有什么用了。弃掉或打出时将其<DepleteIconKeywords:消耗>。,"It's of no use to you now. When played or discarded, <DepleteIconKeywords:Exhaust>."
Skill_4568_Desc,aNXx,j技能表_Skill_A.csv,157,Skill,Desc,,击晕敌人，并清除其<RetaliateIconKeywords:反击>层数。,Stun the enemy and dispel their <RetaliateIconKeywords:Counter>.
Skill_4213_Desc,aMDR,j技能表_Skill_A.csv,158,Skill,Desc,,对敌人施加 1 回合<VulnerabilityIconKeywords:易伤>。,Inflict 1 stack of <VulnerabilityIconKeywords:Vulnerable> on the enemy.
Skill_4514_Desc,aNxT,j技能表_Skill_A.csv,159,Skill,Desc,,对敌人施加 1 回合<WeaknessIconKeywords:虚弱>。,Inflict 1 stack of <WeaknessIconKeywords:Weakness> on the enemy.
Skill_4212_Desc,aMDK,j技能表_Skill_A.csv,160,Skill,Desc,,降低所有敌人 [Arg2] 点临时力量，将一张<DerivativeCardKeywords_26:症状：「妄想」>置入手牌。“很痛吗？真可怜……哭出来就好啦！”,"Inflict [Arg2] Temporary <ExhaustionIconKeywords:STR▼> on all enemies and create 1 ""<DerivativeCardKeywords_26:Delusions>.""\n""Does it hurt? So pitiful... Just cry it out!"""
Skill_4724_Desc,aOtF,j技能表_Skill_A.csv,161,Skill,Desc,,降低所有敌人 [Arg2] 点临时力量，将一张<DerivativeCardKeywords_26:症状：「妄想」>置入手牌。“很痛吗？真可怜……哭出来就好啦！”,"Inflict [Arg2] Temporary <ExhaustionIconKeywords:STR▼> on all enemies and create 1 ""<DerivativeCardKeywords_26:Delusions>.""\n""Does it hurt? So pitiful... Just cry it out!"""
Skill_4351_Desc,aMVP,j技能表_Skill_A.csv,162,Skill,Desc,,降低所有敌人 [Arg2] 点临时力量，将一张<DerivativeCardKeywords_27:症状：「癫痫」>置入手牌。“很痛吗？真可怜……哭出来就好啦！”,"Inflict [Arg2] Temporary <ExhaustionIconKeywords:STR▼> on all enemies and create 1 ""<DerivativeCardKeywords_27:Epilepsy>.""\n""Does it hurt? So pitiful... Just cry it out!"""
Skill_4746_Desc,aOwG,j技能表_Skill_A.csv,163,Skill,Desc,,降低所有敌人 [Arg2] 点临时力量，将一张<DerivativeCardKeywords_28:症状：「崩溃」>置入手牌。“很痛吗？真可怜……哭出来就好啦！”,"Inflict [Arg2] Temporary <ExhaustionIconKeywords:STR▼> on all enemies and create 1 ""<DerivativeCardKeywords_28:Trauma>.""\n""Does it hurt? So pitiful... Just cry it out!"""
Skill_4765_Desc,aOzy,j技能表_Skill_A.csv,164,Skill,Desc,,降低所有敌人 [Arg2] 点临时力量，将一张<DerivativeCardKeywords_29:症状：「呓语」>置入手牌。“很痛吗？真可怜……哭出来就好啦！”,"Inflict [Arg2] Temporary <ExhaustionIconKeywords:STR▼> on all enemies and create 1 ""<DerivativeCardKeywords_29:Somniloquy>.""\n""Does it hurt? So pitiful... Just cry it out!"""
Skill_4766_Desc,aOzF,j技能表_Skill_A.csv,165,Skill,Desc,,降低所有敌人 [Arg2] 点临时力量，将一张<DerivativeCardKeywords_30:症状：「休克」>置入手牌。“很痛吗？真可怜……哭出来就好啦！”,"Inflict [Arg2] Temporary <ExhaustionIconKeywords:STR▼> on all enemies and create 1 ""<DerivativeCardKeywords_30:Shock>.""\n""Does it hurt? So pitiful... Just cry it out!"""
Skill_4146_Desc,aMuG,j技能表_Skill_A.csv,166,Skill,Desc,,对自身造成 [Arg1] 点伤害，获得 [Arg2] 点临时<PowerIconKeywords:力量>，抽 1 张牌。,"Take <Damage:[Arg1]> DMG, gain [Arg2] Temporary <PowerIconKeywords:STR>, and draw 1 card."
Skill_4654_Desc,aOks,j技能表_Skill_A.csv,169,Skill,Desc,,获得 [Arg1] 点护盾。莉莉召唤的黏液护盾，能且仅能抵御一次地狱犬的撕裂。真的……不会痛吗？,Gain <Block:[Arg1]> Shield. The slime shield Lily summoned can withstand one—and only one—of the Hellhound's rending attacks. Really... won't it hurt?
Skill_122121_Desc,bKWJ,j技能表_Skill_A.csv,201,Skill,Desc,,抽 1 张牌，并将<DerivativeCardKeywords_124:「倒数时刻: 4」>洗入弃牌堆。,"Draw 1 card and put ""<DerivativeCardKeywords_124:4: Countdown>"" into the Discard Pile."
Skill_122120_Desc,bKWH,j技能表_Skill_A.csv,202,Skill,Desc,,抽 1 张牌，并将<DerivativeCardKeywords_125:「倒数时刻: 3」>洗入弃牌堆。,"Draw 1 card and put ""<DerivativeCardKeywords_125:3: Countdown>"" into the Discard Pile."
Skill_122122_Desc,bKWL,j技能表_Skill_A.csv,203,Skill,Desc,,抽 1 张牌，并将<DerivativeCardKeywords_126:「倒数时刻: 2」>洗入弃牌堆。,"Draw 1 card and put ""<DerivativeCardKeywords_126:2: Countdown>"" into the Discard Pile."
Skill_122123_Desc,bKWN,j技能表_Skill_A.csv,204,Skill,Desc,,抽 1 张牌，并将<DerivativeCardKeywords_127:「倒数时刻: 1」>洗入弃牌堆。,"Draw 1 card and put ""<DerivativeCardKeywords_127:1: Countdown>"" into the Discard Pile."
Skill_122118_Desc,bKWD,j技能表_Skill_A.csv,205,Skill,Desc,,抽 1 张牌，并将<DerivativeCardKeywords_128:「倒数时刻: 0」>洗入弃牌堆。,"Draw 1 card and put ""<DerivativeCardKeywords_128:0: Countdown>"" into the Discard Pile."
Skill_122119_Desc,bKWF,j技能表_Skill_A.csv,206,Skill,Desc,,抽 3 张牌，获得 3 点算力，并有 [Arg1]% 的机会将<DerivativeCardKeywords_123:「倒数时刻: 5」>洗入弃牌堆。,"Draw 3 cards, gain 3 Arithmetica, and have a [Arg1]% chance to put ""<DerivativeCardKeywords_123:5: Countdown>"" into the Discard Pile."
Skill_130507_Desc,bPxr,j技能表_Skill_A.csv,207,Skill,Desc,,将手中所有指令卡随机洗入抽牌堆，洗入的指令卡在下次打出时有 13% 概率额外生效 1 次，并且每洗入 1 张指令卡就使所有唤醒体获得 2 点狂气。,"Shuffle all Command Cards in hand into the Draw Pile. Each card shuffled has a 13% chance to take effect 1 more time when next played, and for each card shuffled, all Awakeners gain <Energy:2> Aliemus."
Skill_130508_Desc,bPxt,j技能表_Skill_A.csv,208,Skill,Desc,,将手中所有指令卡随机洗入抽牌堆，洗入的指令卡在下次打出时有 17% 概率额外生效 1 次，并且每洗入 1 张指令卡就使所有唤醒体获得 2 点狂气。,"Shuffle all Command Cards in hand into the Draw Pile. Each card shuffled has a 17% chance to take effect 1 more time when next played, and for each card shuffled, all Awakeners gain <Energy:2> Aliemus."
Skill_130509_Desc,bPxv,j技能表_Skill_A.csv,209,Skill,Desc,,将手中所有指令卡随机洗入抽牌堆，洗入的指令卡在下次打出时有 21% 概率额外生效 1 次，并且每洗入 1 张指令卡就使所有唤醒体获得 2 点狂气。,"Shuffle all Command Cards in hand into the Draw Pile. Each card shuffled has a 21% chance to take effect 1 more time when next played, and for each card shuffled, all Awakeners gain <Energy:2> Aliemus."
Skill_130506_Desc,bPxp,j技能表_Skill_A.csv,210,Skill,Desc,,将手中所有指令卡随机洗入抽牌堆，洗入的指令卡在下次打出时有 25% 概率额外生效 1 次，并且每洗入 1 张指令卡就使所有唤醒体获得 2 点狂气。,"Shuffle all Command Cards in hand into the Draw Pile. Each card shuffled has a 25% chance to take effect 1 more time when next played, and for each card shuffled, all Awakeners gain <Energy:2> Aliemus."
Skill_133951_Desc,bSqu,j技能表_Skill_A.csv,212,Skill,Desc,,获得 <Posse:[Arg1]> 点银钥能量，将「<DerivativeCardKeywords_141:樱满开>」洗入弃牌堆。,"Gain <Posse:[Arg1]> Keyflare and put ""<DerivativeCardKeywords_141:Sakura Blossoms>"" into the Discard Pile."
Skill_133952_Desc,bSqw,j技能表_Skill_A.csv,213,Skill,Desc,,获得 <Posse:[Arg1]> 点银钥能量，将「<DerivativeCardKeywords_142:花吹雪>」洗入弃牌堆。,"Gain <Posse:[Arg1]> Keyflare and put ""<DerivativeCardKeywords_142:Hanafubuki>"" into the Discard Pile."
Skill_133953_Desc,bSqy,j技能表_Skill_A.csv,214,Skill,Desc,,获得 <Posse:[Arg1]> 点银钥能量，将「<DerivativeCardKeywords_143:一期一会>」洗入弃牌堆。,"Gain <Posse:[Arg1]> Keyflare and put ""<DerivativeCardKeywords_143:Ichigo Ichie>"" into the Discard Pile."
Skill_133950_Desc,bSqs,j技能表_Skill_A.csv,215,Skill,Desc,,从 3 个随机钥令中选择 1 个发动 2 次，将「<DerivativeCardKeywords_139:春之信>」洗入弃牌堆。,"Unleash 1 of 3 random Posses twice, then put ""<DerivativeCardKeywords_139:Vernal Message>"" into the Discard Pile."
Skill_126484_tempBattleDesc_2,bSEa,j技能表_Skill_A.csv,1592,Skill,tempBattleDesc,阿拉克涅,造成 <Damage:[Damage:Arg1]> 点伤害。获得 <Energy:[Energy:Arg2]> 点狂气。若为本回合首次打出，释放 1 次「无尽线缕」追击( [Arg3]/1 )。,"Deal <Damage:[Damage:Arg1]> DMG. Gain <Energy:[Energy:Arg2]> Aliemus. Once per turn, perform Pursuit: ""Infinite Threads.""  ([Arg3]/1)"
Skill_126485_tempBattleDesc_2,bSEc,j技能表_Skill_A.csv,1593,Skill,tempBattleDesc,阿拉克涅,获得 <Block:[Block:Arg1]> 点护盾。获得 <Energy:[Energy:Arg2]> 点狂气。若为本回合首次打出，释放 1 次「无尽线缕」追击(  [Arg3]/1 )。,"Gain <Block:[Block:Arg1]> Shield. Gain <Energy:[Energy:Arg2]> Aliemus. Once per turn, perform Pursuit: ""Infinite Threads.""  ([Arg3]/1)"
Skill_126486_Desc_0,bNAH,j技能表_Skill_A.csv,1594,Skill,Desc,阿拉克涅,获得 <Block:[Block:Arg1]> 点护盾，临时伤害强效 +[Arg2]％，移除所有手牌的<SlowIconKeywords:迟缓>状态。,"Gain +[Arg2]% Temporary DMG Amplification and <Block:[Block:Arg1]> Shield, and cleanse <SlowIconKeywords:Stagnation> from cards in hand."
Skill_126486_OverLimitUtlSkillDesc,bNAL,j技能表_Skill_A.csv,1594,Skill,OverLimitUtlSkillDesc,阿拉克涅,获得 <Block:[Block:Arg1]> 点护盾，临时伤害强效 +[Arg2]％，移除所有手牌的<SlowIconKeywords:迟缓>状态。生成手中和超维空间最多 5 张具有<SingularityKeywords1:奇点信标>卡牌的临时原始复制，将其随机置入抽牌堆和弃牌堆并使其算力消耗变为 0。,"Gain +[Arg2]% Temporary DMG Amplification and <Block:[Block:Arg1]> Shield, and cleanse <SlowIconKeywords:Stagnation> from cards in hand. Create Fleeting, Basic Copies of up to 5 cards with <SingularityKeywords1:Singularity Beacon> in Ultra Space or Hand; reduce their Arithmetica Cost to 0, grant them <SingularityKeywords1:Singularity Beacon>, and put them randomly into the Draw &/or Discard Piles."
