Stage_8027_Name,aVnu,g关卡_Stage_A.csv,114,Stage,Name,,疯人之口,Mouth of the Mad
AvgDialog_19065_Content_20,agOv,avg章4_AvgDialog_C_M.csv,201,AvgDialog,Content,朵尔,没错。她今年应当已经52岁了，但从近期的照片上来看，她的容貌与25年前一模一样。,"That's correct. She should be 52 this year, but recent photos show that her appearance is exactly the same as it was 25 years ago."
AvgDialog_19065_Content_21,agOw,avg章4_AvgDialog_C_M.csv,202,AvgDialog,Content,萝坦,难道她研究的项目是<Yellow:长生不老>？,Could it be that her research project is <Yellow:eternal life>?
AvgDialog_19065_Content_22,agOx,avg章4_AvgDialog_C_M.csv,203,AvgDialog,Content,朵尔,嗯，你这种肌肉脑家伙理解到这种程度就足够了。,"Well, to think that a muscle-brain like you can understand this much is good enough."
AvgDialog_19065_Content_23,agOy,avg章4_AvgDialog_C_M.csv,204,AvgDialog,Content,朵尔,"基于这些调查内容，我们搜查了弗朗西斯的旧实验室。
那里已经废弃，内部一片狼藉，像是有八百个萝坦在里面混战过。","Based on these investigation results, we searched Francis's old lab.\nIt was abandoned and in disarray, as if 800 Lotans had fought there."
AvgDialog_19065_Content_24,agOz,avg章4_AvgDialog_C_M.csv,205,AvgDialog,Content,玩家,但是？,But?
AvgDialog_19065_Content_25,agOA,avg章4_AvgDialog_C_M.csv,206,AvgDialog,Content,朵尔,但是，威廉毅力超凡。他顶着漫天灰尘，边咳边搬开了所有木板残骸，在被压扁的办公桌抽屉内发现了这个。,"But William had extraordinary perseverance. Amid the billowing dust, he coughed while clearing away all the debris, eventually finding this in a crushed desk drawer."
AvgDialog_19065_Content_26,agOB,avg章4_AvgDialog_C_M.csv,207,AvgDialog,Content,,朵尔递来一本破旧的笔记本，棕色的牛皮下鼓鼓囊囊的，似乎塞了不少夹页。,"Doll handed over an old notebook, bulging under the brown leather cover, seemingly stuffed with many inserted pages."
AvgDialog_19065_Content_27,agOC,avg章4_AvgDialog_C_M.csv,208,AvgDialog,Content,,"11月21日

大家都祝贺我，不仅在医学事业上事业有成，现在又收获了美好的感情。
明天的婚礼结束后，我就会成为弗朗西斯·奥兹伍德，与@3，我的丈夫，迈入一段新的生活。

1月11日

我们不打算太早要孩子的，尽管如此，@1仍是我和@3爱情的见证与结晶。我发誓，一定会给她最美好的未来。","November 21\n\nEveryone is congratulating me, not only on my successful medical career but also on finding a wonderful relationship.\nAfter tomorrow's wedding, I will become Francis Oswald and step into a new life with @3, my husband.\n\nJanuary 11\n\nWe didn't plan to have children so early, but still, @1 is the witness and culmination of my love with @3. I swear to give her the brightest future."
AvgDialog_19065_Content_28,agOD,avg章4_AvgDialog_C_M.csv,209,AvgDialog,Content,,"7月7日
晚餐时@1高兴地和我分享她和@3在院子里举办的下午茶会。
看着她快乐的笑脸，我几乎忍不住落泪。如果我能多花一点时间在家里，我就能和他们一起在草坪上欢笑，而不是……
这时@3——父神保佑，他真是世上最好的丈夫、最好的父亲——从背后拥住我，他什么也没说，但我知道他的意思。

“不必担心，我们是、也永远会是最幸福的一家人。”","July 7th\nDuring dinner, @1 happily told me about the afternoon tea party she and @3 hosted in the yard.\nSeeing her joyful smile, I almost couldn't hold back my tears. If only I could spend more time at home, I could laugh with them on the lawn instead of...\nAt that moment, @3—God bless him, he's the best husband and father in the world—embraced me from behind. He didn't say anything, but I knew what he meant.\n\n""Don't worry, we are, and always will be, the happiest family."""
AvgDialog_19065_Content_29,agOE,avg章4_AvgDialog_C_M.csv,210,AvgDialog,Content,,"2月7日

他们说我情况很糟，他们建议我把发生过的事情记录下来，他们说这样能放松我的精神——就算不是为了我自己，也算为了@1。

那就从一切的开始说起吧。

@2月@2日，在带@1去游乐园时，@3突然昏倒了。我接到电话，匆忙赶到医院，只看见@3温和地对我笑着，让我不要担心。我问他肩膀上的黑洞是怎么回事，他疑惑地望着我，说我可能是太累了，需要好好休息，然后拍了拍我的脑袋，说不知道谁才是躺在病床上亟待休息的病号。

但他的肩膀上流淌着黑色的黏液，我确实看见了。
……我一定在哪里见过这种黑色黏液。究竟是在哪里呢？为什么怎么都想不起来？","February 7th\n\nThey said my condition was bad and suggested I document what happened. They said it would help ease my spirit—even if not for myself, at least for @1.\n\nSo let's start from the beginning.\n\nOn the @2nd of @2, while taking @1 to the amusement park, @3 suddenly collapsed. I rushed to the hospital upon receiving the call, only to see @3 smiling gently at me, telling me not to worry. I asked him about the black ooze on his shoulder, and he looked at me puzzled, saying I might be too tired and needed a good rest. Then he patted my head, wondering who was the one lying in the hospital bed needing rest.\n\nBut there was black ooze flowing from his shoulder; I definitely saw it.\n...I must have seen this black ooze somewhere before. Where was it? Why can't I remember?"
AvgDialog_19065_Content_30,agOG,avg章4_AvgDialog_C_M.csv,211,AvgDialog,Content,,"继@3之后，@1也倒下了。@1的左胸口开始溢出黑色的黏液。他们不肯相信我，他们都看不到，可是那里真的有黑色的黏液，像泥浆一样滴落下来……

@3总是笑着说是他遗传了这种无名怪病给@1，所以他俩才相继病倒。我握着他苍白的手，看着他日益衰弱的模样和肩头越来越大的黑色创口，不知道该如何是好。

……他们骗人，写下来对我没有任何帮助。","After @3 collapsed, @1 followed suit. Black ooze began seeping from @1's left chest. They refused to believe me; they couldn't see it, but black ooze was indeed dripping down like sludge...\n\n@3 always joked that he had passed this nameless disease to @1, which explained their consecutive illnesses. I held his pale hand, watching his weakening condition and the growing black wound on his shoulder, unsure of what to do.\n\n...They lie. Writing it down doesn't help me at all."
AvgDialog_19065_Content_31,agOH,avg章4_AvgDialog_C_M.csv,212,AvgDialog,Content,,"3月5日
<Blue:赫伯特先生>又来探望@3和@1了。他给@1带来了@1最喜欢的手指饼。
我非常感谢他，自从@3和@1病倒，我就在实验室请了长假，他也耐心地劝我多陪陪家人。

关于黑色黏液的事情，他也没有像其他人一样否定我的说法，没有认为我出现了癔症或者幻觉，而是为我介绍了一些宗教学方面的知识，其中大部分内容都和一个名为<Blue:提灯教会>的组织相关。","March 5th\n<Blue:Mr. Herbert> visited @3 and @1 again. He brought ladyfingers, @1's favorite.\nI'm very grateful to him. Since @3 and @1 fell ill, I've taken a long leave from the lab, and he has patiently encouraged me to spend more time with my family.\n\nRegarding the black slime, he didn't deny my claims like others did, nor assume that I was having fits or phantasms. Instead, he shared some religious knowledge, mostly related to an organization called the <Blue:Church of the Lightbearers>."
AvgDialog_19065_Content_32,agOI,avg章4_AvgDialog_C_M.csv,213,AvgDialog,Content,,日记在这里戛然而止了。,The diary comes to an abrupt end here.
AvgDialog_19065_Content_33,agOJ,avg章4_AvgDialog_C_M.csv,214,AvgDialog,Content,玩家,赫伯特、提灯教会……看来，她的确被卷进了不得了的事件。,"Herbert, Church of the Lightbearers... It seems she got involved in a rather significant event."
AvgDialog_19065_Content_34,agOK,avg章4_AvgDialog_C_M.csv,215,AvgDialog,Content,玩家,这日记好像不全，后面的部分呢？,This diary seems incomplete. Where is the rest?
AvgDialog_19065_Content_35,agOL,avg章4_AvgDialog_C_M.csv,216,AvgDialog,Content,朵尔,"我们把实验室翻了个底朝天，也没有其他发现。
离开那儿的时候，可怜的威廉都快罹患尘肺了。","We turned the lab upside down and found nothing else.\nBy the time we left, poor William was on the verge of contracting lung disease."
AvgDialog_19065_Content_36,agOM,avg章4_AvgDialog_C_M.csv,217,AvgDialog,Content,朵尔,说起来，拉蒙娜呢？,"Speaking of which, where is Ramona?"
AvgDialog_19065_Content_37,agON,avg章4_AvgDialog_C_M.csv,218,AvgDialog,Content,玩家,我正准备和你说……,I was just about to tell you...
AvgDialog_19040_Content_1,agGl,avg章4_AvgDialog_C_M.csv,219,AvgDialog,Content,,精神病院,Asylum
AvgDialog_19040_Content_2,agGr,avg章4_AvgDialog_C_M.csv,220,AvgDialog,Content,,拉蒙娜小心地踮起足尖，在走廊的阴影中无声潜行。,"Ramona tiptoed cautiously, silently sneaking through the shadows in the hallway."
AvgDialog_19040_Content_3,agGs,avg章4_AvgDialog_C_M.csv,221,AvgDialog,Content,,守密人并不赞同她的决定，但在她坚持时选择了默许，只是叮嘱她无论成败都尽早撤离。,"The Keeper did not approve of her decision, but when she insisted, {Male=he,Female=she} had relented, simply reminding her to withdraw as soon as possible regardless of success or failure."
AvgDialog_19040_Content_4,agGt,avg章4_AvgDialog_C_M.csv,222,AvgDialog,Content,,她的理由足够充分，如果只能选择一个人帮助莉莉，依然保有战斗力、又擅长低调行事的她是最适合的。,"Her reasons were sufficient. If only one person could be chosen to help Lily, as someone who still retained combat effectiveness and excelled at discretion, she would be the best choice."
AvgDialog_19040_Content_5,agGu,avg章4_AvgDialog_C_M.csv,223,AvgDialog,Content,,"在转过第三个转角，躲开闲话的病人时，拉蒙娜开始有些犹豫。
她开始不能确定自己出现在这里的原因。","After turning the third corner and avoiding some gossiping patients, Ramona began to hesitate.\nShe was no longer sure why she was there."
AvgDialog_19040_Content_6,agGv,avg章4_AvgDialog_C_M.csv,224,AvgDialog,Content,,她的内心感知到些许朦胧的呼唤，这种呼唤让她觉得自己对那个孩子有某种义务。,"She sensed a faint, indistinct call within her heart; a calling that made her feel as if she had a certain obligation toward the child."
AvgDialog_19040_Content_7,agGw,avg章4_AvgDialog_C_M.csv,225,AvgDialog,Content,,也是这种呼唤，让她感觉自己和莉莉之间存在某种联系，她很确信莉莉就在疗养院最东侧的房间中。,This call also made her feel a connection with Lily. She was certain that Lily was in the room on the far east side of the sanatorium.
AvgDialog_19040_Content_8,agGx,avg章4_AvgDialog_C_M.csv,226,AvgDialog,Content,,只要运气够好，她可以悄无声息地带走莉莉。然后，再通知弥萨格派人对疗养院进行全方位搜索，解明银芯失效的原因……,"If luck was on her side, she could quietly take Lily away. Then, Mythag can be notified to conduct a full search of the sanatorium to uncover why the Silver communicator failed..."
AvgDialog_19040_Content_9,agGy,avg章4_AvgDialog_C_M.csv,227,AvgDialog,Content,咳嗽的老人,咳、咳！,"*Cough, cough!*"
AvgDialog_19040_Content_10,agGm,avg章4_AvgDialog_C_M.csv,228,AvgDialog,Content,,拉蒙娜心中一惊，闪身躲入最近的空屋。,Ramona's heart skipped a beat as she quickly slipped into the nearest empty room.
AvgDialog_19040_Content_11,agGn,avg章4_AvgDialog_C_M.csv,229,AvgDialog,Content,咳嗽的老人,"唉，鲍勃也不知道来看我……
这样的日子，什么时候是个头啊……","*Sigh*, Bob doesn't even come to see me...\nWhen will days like these ever end..."
AvgDialog_19040_Content_12,agGo,avg章4_AvgDialog_C_M.csv,230,AvgDialog,Content,平静的老人,"我来这里好几年了，可从来没见过探视的人。
要真有那个心，他也不会把你送到这种地方来了。","I've been here for years and have never seen a visitor.\nIf he truly cared, he wouldn't have sent you to a place like this."
AvgDialog_19040_Content_13,agGp,avg章4_AvgDialog_C_M.csv,231,AvgDialog,Content,咳嗽的老人,唉……,*sigh*...
AvgDialog_19040_Content_14,agGq,avg章4_AvgDialog_C_M.csv,232,AvgDialog,Content,,二人闲话着远去，拉蒙娜这才得空仔细观察自己躲避的房间。,"The two chatted as they walked away, giving Ramona a chance to carefully observe the room where she was hiding."
AvgDialog_19050_Content_1,agJz,avg章4_AvgDialog_C_M.csv,233,AvgDialog,Content,拉蒙娜,弗朗西斯的办公室……兜兜转转，又回到这儿来了。,"Francis's office... After all these detours, I've returned here once again."
AvgDialog_19050_Content_2,agJA,avg章4_AvgDialog_C_M.csv,234,AvgDialog,Content,拉蒙娜,算了，再搜一次总没坏处。,"Fine, searching one more time won't hurt."
AvgDialog_19060_Content_1,agMC,avg章4_AvgDialog_C_M.csv,235,AvgDialog,Content,拉蒙娜,这是！,This is!
AvgDialog_19060_Content_2,agMD,avg章4_AvgDialog_C_M.csv,236,AvgDialog,Content,,自房间的角落中，钻出黢黑的怪物。,"From the corner of the room, a jet-black monster emerged."
AvgDialog_19060_Content_3,agME,avg章4_AvgDialog_C_M.csv,237,AvgDialog,Content,,丑陋的缝合痕迹显示出他们的来历——正是雕塑家协会的改造产物。,The ugly stitching reveals their origin—they are the handiwork of the Sculptors' Association.
AvgDialog_19072_Content_1,agTD,avg章4_AvgDialog_C_M.csv,238,AvgDialog,Content,拉蒙娜,书柜上有个锁着的盒子……,There's a locked box on the bookshelf...
AvgDialog_19072_Content_2,agTE,avg章4_AvgDialog_C_M.csv,239,AvgDialog,Content,拉蒙娜,挂画下藏有钥匙……,There is a key hidden under the painting...
AvgDialog_19062_Content_1,agMK,avg章4_AvgDialog_C_M.csv,240,AvgDialog,Content,拉蒙娜,呼——幸亏弗朗西斯给房门做了加固，刚刚闹出的动静，应该没人听见。,"Whew—thank goodness Francis reinforced the door. With all that noise just now, no one should have heard."
AvgDialog_19062_Content_2,agMV,avg章4_AvgDialog_C_M.csv,241,AvgDialog,Content,拉蒙娜,"这份档案……弗朗西斯在研究……
融蚀？！",This file... Francis is conducting research on...\nDissolution?!
AvgDialog_19062_Content_3,agNg,avg章4_AvgDialog_C_M.csv,242,AvgDialog,Content,弗朗西斯,如果想再次参观的话，可以和我打招呼的，何必偷偷摸摸的呢？,"If you'd like to visit again, you can just let me know. Why be so sneaky?"
AvgDialog_19062_Content_4,agNr,avg章4_AvgDialog_C_M.csv,243,AvgDialog,Content,,自档案柜后，传出一声叹息。,A sigh came from behind the filing cabinet.
AvgDialog_19062_Content_5,agNx,avg章4_AvgDialog_C_M.csv,244,AvgDialog,Content,拉蒙娜,？！,?!
AvgDialog_19062_Content_6,agNy,avg章4_AvgDialog_C_M.csv,245,AvgDialog,Content,弗朗西斯,还是说……,Or perhaps...
AvgDialog_19062_Content_7,agNz,avg章4_AvgDialog_C_M.csv,246,AvgDialog,Content,,弗朗西斯打了个响指，拉蒙娜突然觉得头晕目眩，眼前的景象被古怪地扭曲起来……,"Francis snapped her fingers, and Ramona suddenly felt dizzy as her vision was strangely distorted..."
AvgDialog_19062_Content_8,agNA,avg章4_AvgDialog_C_M.csv,247,AvgDialog,Content,弗朗西斯,<Yellow:你也是被那孩子蛊惑，一不小心就踏进漩涡了呢？>,<Yellow:Were you also lured by that child and accidentally stepped into the whirlpool?>
AvgDialog_19062_Content_9,agNB,avg章4_AvgDialog_C_M.csv,248,AvgDialog,Content,萝坦,"“万能的朵尔”，“天才的缸中之脑”。
已经过去整整六个小时了，这点小问题还没解决吗？","""Almighty Doll,"" ""Genius Brain in a Vat.""\nIt has been a full six hours. Is this minor issue still unresolved?"
AvgDialog_19062_Content_10,agML,avg章4_AvgDialog_C_M.csv,249,AvgDialog,Content,朵尔,承蒙高看，但科学研究可不是舞刀弄枪，刀刀都能见血。,"I appreciate your high regard, but scientific research isn't about wielding swords and drawing blood with every move."
AvgDialog_19062_Content_11,agMM,avg章4_AvgDialog_C_M.csv,250,AvgDialog,Content,朵尔,我必须提醒你，如果现在换研究部的那些老学究来处理，他们再花十八个小时，也找不到故障的症结。,"I must remind you, if those old scholars from the Research Department were to handle this, they still wouldn't find the root cause even after 18 hours."
AvgDialog_19062_Content_12,agMN,avg章4_AvgDialog_C_M.csv,251,AvgDialog,Content,玩家,可拉蒙娜早该出来了，只是简单搜索一下房间，花不了那么多时间……,Ramona should have been out by now. A simple room search shouldn't take this long...
AvgDialog_19062_Content_13,agMO,avg章4_AvgDialog_C_M.csv,252,AvgDialog,Content,朵尔,"这个倒是不用担心。
换算一下的话……她在里面也就呆了十几分钟？",No need to worry about this.\nIf we do the math... wasn't she inside for just ten-odd minutes?
AvgDialog_19062_Content_14,agMP,avg章4_AvgDialog_C_M.csv,253,AvgDialog,Content,朵尔,放心吧，我的计算马上就能得出结果。,"Don't worry, my calculations will be finished soon."
AvgDialog_19062_Content_15,agMQ,avg章4_AvgDialog_C_M.csv,254,AvgDialog,Content,朵尔,你稍事休息，我们很快就能进去找你的好搭档了。,Take a short break. We'll soon go in and find your good partner.
AvgDialog_19062_Content_16,agMR,avg章4_AvgDialog_C_M.csv,255,AvgDialog,Content,,"同一时间
拉伊精神疗养院·手术室内","At the same time
Rye Sanatorium: Operating Room"
AvgDialog_19062_Content_17,agMS,avg章4_AvgDialog_C_M.csv,256,AvgDialog,Content,,拉蒙娜在柔软的床铺上醒来，眼前是女孩子担忧的面容。,"Ramona woke up on a soft bed, facing a girl with a worried expression."
AvgDialog_19062_Content_18,agMT,avg章4_AvgDialog_C_M.csv,257,AvgDialog,Content,拉蒙娜,<SmallShake:这里……是哪里？我……睡了多久？>,<SmallShake:Where... am I? How long... have I been asleep?>
AvgDialog_19062_Content_19,agMU,avg章4_AvgDialog_C_M.csv,258,AvgDialog,Content,,她扶着额头坐起身，夕阳的光线从窗口射入，将这里映成一片暖色的海洋。,"She propped herself up, holding her forehead. The light of the setting sun streamed through the window, turning the room into a sea of warm colors."
AvgDialog_19062_Content_20,agMW,avg章4_AvgDialog_C_M.csv,259,AvgDialog,Content,,……竟然有几分温馨。,...it was actually quite cozy.
AvgDialog_19062_Content_21,agMX,avg章4_AvgDialog_C_M.csv,260,AvgDialog,Content,拉蒙娜,不，不是错觉……,"No, it's not an illusion..."
AvgDialog_19062_Content_22,agMY,avg章4_AvgDialog_C_M.csv,261,AvgDialog,Content,,拉蒙娜呢喃。,Ramona mutters to herself.
AvgDialog_19062_Content_23,agMZ,avg章4_AvgDialog_C_M.csv,262,AvgDialog,Content,,若非床铺旁的手术器械反射出冰冷尖锐的光芒，这里的陈设显然是某个女孩的卧室。,"If not for the cold, sharp gleam of surgical instruments by the bedside, the furnishings here would clearly belong to a girl's bedroom."
AvgDialog_19062_Content_24,agNa,avg章4_AvgDialog_C_M.csv,263,AvgDialog,Content,莉莉,拉蒙娜姐姐，你该回去了。把库姆……也带走吧。,"Ramona, you should go back. Koum... you should take Koum with you as well."
AvgDialog_19062_Content_25,agNb,avg章4_AvgDialog_C_M.csv,264,AvgDialog,Content,,女孩没有回应拉蒙娜的问题，自说自话地抛下一句，又侧身去抚摸库姆的脑袋。,"The girl didn't respond to Ramona's question. Instead, she muttered something under her breath and turned to pat Koum's head."
AvgDialog_19062_Content_26,agNc,avg章4_AvgDialog_C_M.csv,265,AvgDialog,Content,拉蒙娜,那你呢？,What about you?
AvgDialog_19062_Content_27,agNd,avg章4_AvgDialog_C_M.csv,266,AvgDialog,Content,莉莉,出去太久的话，会被<Yellow:祂>发现的。,"If we stay out too long, <Yellow:It> will notice."
AvgDialog_19062_Content_28,agNe,avg章4_AvgDialog_C_M.csv,267,AvgDialog,Content,拉蒙娜,祂？……是指“地狱犬”吗？,"Is ""It""... referring to the ""Hellhound""?"
AvgDialog_19062_Content_29,agNf,avg章4_AvgDialog_C_M.csv,268,AvgDialog,Content,拉蒙娜,莉莉，不要害怕，我们来自一所专门对抗异常现象的大学，一定有办法保护你的。,"Lily, don't be afraid. We come from a university specializing in combating anomalies. We will find a way to protect you."
AvgDialog_19062_Content_30,agNh,avg章4_AvgDialog_C_M.csv,269,AvgDialog,Content,莉莉,"不，没有人能逃过祂的视线。
被祂盯上的人，最终都会成为祂的猎物。","No, no one can escape Its gaze.\nThose who are targeted by It will eventually become Its prey."
AvgDialog_19062_Content_31,agNi,avg章4_AvgDialog_C_M.csv,270,AvgDialog,Content,莉莉,"而且，莉莉还需要陪着母亲。
母亲一个人，太孤单了。","Moreover, Lily needs to stay with her mother. \nHer mother would be too lonely by herself."
AvgDialog_19062_Content_32,agNj,avg章4_AvgDialog_C_M.csv,271,AvgDialog,Content,拉蒙娜,她对你，对库姆都犯下了残忍的罪行，我不会放任她逃过制裁。,She has committed cruel acts against you and Koum. I won't let her escape justice.
AvgDialog_19062_Content_33,agNk,avg章4_AvgDialog_C_M.csv,272,AvgDialog,Content,莉莉,"不，母亲没有骗人。
库姆变成这样…不是母亲的错。","No, mother didn't lie.\nKoum turning out this way... isn't her fault."
AvgDialog_19062_Content_34,agNl,avg章4_AvgDialog_C_M.csv,273,AvgDialog,Content,拉蒙娜,你能把你知道的告诉我吗？,Can you tell me what you know?
AvgDialog_19062_Content_35,agNm,avg章4_AvgDialog_C_M.csv,274,AvgDialog,Content,莉莉,来不及了。,No time left.
AvgDialog_19062_Content_36,agNn,avg章4_AvgDialog_C_M.csv,275,AvgDialog,Content,,莉莉脸上罕见地浮现出悲戚的神色。,A rare sorrowful expression appeared on Lily's face.
AvgDialog_19062_Content_37,agNo,avg章4_AvgDialog_C_M.csv,276,AvgDialog,Content,莉莉,库姆，带她走。,"Koum, take her away."
AvgDialog_19062_Content_38,agNp,avg章4_AvgDialog_C_M.csv,277,AvgDialog,Content,,身后传来了门把拧动的吱呀声。,The creaking sound of a doorknob turning came from behind.
AvgDialog_19062_Content_39,agNq,avg章4_AvgDialog_C_M.csv,278,AvgDialog,Content,,"库姆应声将拉蒙娜衔起，甩上自己的后背。
拉蒙娜试图抵抗，却被黑色黏液牢牢束缚在了库姆的身上。","Koum swiftly grabbed Ramona and flung her onto her back.\nRamona attempted to resist, but the black slime firmly bound her to Koum."
AvgDialog_19062_Content_40,agNs,avg章4_AvgDialog_C_M.csv,279,AvgDialog,Content,莉莉,"别再回来了，忘掉我，忘掉这里的一切……
母亲不会再伤害任何人……","Don't come back. Forget me, forget everything here...\nMother won't hurt anyone ever again…"
AvgDialog_19062_Content_41,agNt,avg章4_AvgDialog_C_M.csv,280,AvgDialog,Content,,在来人惊愕的目光下，库姆突然迎头撞了上去。,"Under the astonished gaze of Francis, Koum suddenly charged straight ahead."
AvgDialog_19062_Content_42,agNu,avg章4_AvgDialog_C_M.csv,281,AvgDialog,Content,,弗朗西斯一时间无法稳住身形，库姆突围而出，跃向深不见底的黑暗。,"Francis momentarily lost her balance and Koum broke through, leaping into the endless darkness."
AvgDialog_19062_Content_43,agNv,avg章4_AvgDialog_C_M.csv,282,AvgDialog,Content,,拉蒙娜回头，只见莉莉搀扶着弗朗西斯，背光站在夕阳中，用一种近似哀求的目光为她送别。,"Ramona turned back and saw Lily supporting Francis, standing against the sunset. She bade her farewell with an almost pleaful look."
AvgDialog_19062_Content_44,agNw,avg章4_AvgDialog_C_M.csv,283,AvgDialog,Content,莉莉,"忘掉我吧。
就像其他所有人那样……",Forget about me.\nJust like everyone else...
AvgDialog_19078_Content_1,agWK,avg章4_AvgDialog_C_M.csv,284,AvgDialog,Content,,第六感,Sixth Sense
AvgDialog_19078_Content_2,agWV,avg章4_AvgDialog_C_M.csv,285,AvgDialog,Content,,或许是近日太过疲惫，朵尔说稍事休息，你却迷迷糊糊地睡了过去……,"Perhaps you've been too tired lately. Doll suggested taking a short rest, but you drifted off into a daze..."
AvgDialog_19078_Content_3,agXg,avg章4_AvgDialog_C_M.csv,286,AvgDialog,Content,,并再度陷入骇人的<Yellow:梦境>中。,And once again fell into that terrifying <Yellow:dream>.
AvgDialog_19078_Content_4,agXr,avg章4_AvgDialog_C_M.csv,287,AvgDialog,Content,弥利亚姆？,<Italic:祂将归来…借由倒错的@2，祂将从@4中复苏，使得@3降临……>,"<Italic:He will return... Through the perverse @2, He will revive from @4, bringing about the arrival of @3...>"
AvgDialog_19078_Content_5,agXB,avg章4_AvgDialog_C_M.csv,288,AvgDialog,Content,,"祭坛上的女人口中念念有词。
你神经紧绷，任由黑色的黏液覆盖你的躯体，掩住你的口鼻。","The woman on the altar mutters incantations.\nYour nerves are taut as black slime covers your body, blocking your mouth and nose."
AvgDialog_19078_Content_6,agXC,avg章4_AvgDialog_C_M.csv,289,AvgDialog,Content,,"你的面部完全浸没在水下，此刻却没有感觉到呼吸不畅。
那黑色的池水仿佛母亲的羊水，提供令人安睡的呼吸。","Your face is completely submerged in the water, yet you feel no difficulty breathing.\nThe black pool's liquid feels like a mother's amniotic fluid, providing a soothing breath."
AvgDialog_19078_Content_7,agXD,avg章4_AvgDialog_C_M.csv,290,AvgDialog,Content,,不能睡……不能睡过去……,I can't let myself fall sleep... I can't drift off...
AvgDialog_19078_Content_8,agXE,avg章4_AvgDialog_C_M.csv,291,AvgDialog,Content,,……,...
AvgDialog_19078_Content_9,agXF,avg章4_AvgDialog_C_M.csv,292,AvgDialog,Content,,…………,...
AvgDialog_19078_Content_10,agWL,avg章4_AvgDialog_C_M.csv,293,AvgDialog,Content,,………………,......
AvgDialog_19078_Content_11,agWM,avg章4_AvgDialog_C_M.csv,294,AvgDialog,Content,,"仪式终于结束，为首的女人走下了高处的祭坛。
一众黑袍的使者跟在她身后依序离去，如迁徙的蚁群。","The ritual finally concluded, and the leading woman descended from the high altar.\nA group of black-robed messengers followed her in sequence, like a migrating colony of ants."
AvgDialog_19078_Content_12,agWN,avg章4_AvgDialog_C_M.csv,295,AvgDialog,Content,,<Blue:你>勉强起身，褪去全身湿透的衣服，在一块巨石的后面找到了墨菲所说的教袍。,"<Blue:You> struggle to your feet, take off your soaked clothes, and find the robe Murphy mentioned behind a large rock."
AvgDialog_19078_Content_13,agWO,avg章4_AvgDialog_C_M.csv,296,AvgDialog,Content,,你匆忙换上，不顾严寒，朝着北方的通道摸索而去。,"You hastily put it on, ignoring the biting cold, and made your way towards the northern passage."
AvgDialog_19078_Content_14,agWP,avg章4_AvgDialog_C_M.csv,297,AvgDialog,Content,,……,...
AvgDialog_19078_Content_15,agWQ,avg章4_AvgDialog_C_M.csv,298,AvgDialog,Content,,…………,...
AvgDialog_19078_Content_16,agWR,avg章4_AvgDialog_C_M.csv,299,AvgDialog,Content,,"通道极为狭小，你不得不躬身前进。
光无法射入这里，所见只有一片伸手不见五指的漆黑。","The passage is extremely narrow, forcing you to crouch.\nNo light can penetrate here; all you see is a pitch-black darkness so thick you can't see your hand in front of your face."
AvgDialog_19078_Content_17,agWS,avg章4_AvgDialog_C_M.csv,300,AvgDialog,Content,弗朗西斯？,真的…能从这里离开吗？,Can I really... leave this place?
AvgDialog_19078_Content_18,agWT,avg章4_AvgDialog_C_M.csv,301,AvgDialog,Content,,你探了探怀中，那块会给你力量的怀表已经不知所踪。,"You checked your pocket, but the pocketwatch that granted you strength was nowhere to be found."
AvgDialog_19078_Content_19,agWU,avg章4_AvgDialog_C_M.csv,302,AvgDialog,Content,,……那是你和@1 在这世间唯一的联系了。,... That was your only connection to @1 left in this world.
AvgDialog_19078_Content_20,agWW,avg章4_AvgDialog_C_M.csv,303,AvgDialog,Content,,……,...
AvgDialog_19078_Content_21,agWX,avg章4_AvgDialog_C_M.csv,304,AvgDialog,Content,,很幸运，仪式结束，洞窟中一个人也没有。,"Fortunately, the ritual has been completed, and there is not a single person left in the cave."
AvgDialog_19078_Content_22,agWY,avg章4_AvgDialog_C_M.csv,305,AvgDialog,Content,,你在旧衣服中翻找了半天，没有摸到怀表，于是走到池边，在你被摆放之处摸索。,"You rummaged through your old clothes for a while but couldn't find the pocket watch, so you walked to the pool and searched where you had been placed."
AvgDialog_19078_Content_23,agWZ,avg章4_AvgDialog_C_M.csv,306,AvgDialog,Content,,……你感觉有些不对劲。,...You sense that something is amiss.
AvgDialog_19078_Content_24,agXa,avg章4_AvgDialog_C_M.csv,307,AvgDialog,Content,,池水的高度下降了。,The water level has dropped.
AvgDialog_19078_Content_25,agXb,avg章4_AvgDialog_C_M.csv,308,AvgDialog,Content,,池中被作为祭品的昏迷的人，似乎一个个都在不知觉中蜷缩了起来，姿态好似母亲怀中的婴孩。,"In the pool, the unconscious sacrifices seemed to curl up one by one in their unawareness, their postures resembling infants cradled in a mother's arms."
AvgDialog_19078_Content_26,agXc,avg章4_AvgDialog_C_M.csv,309,AvgDialog,Content,,你在“淤泥”中摸到了你的怀表，准备转身离去时，注意到身侧躺着的人形。,"You found your pocket watch in the ""ooze"" and was about to leave, when you noticed a humanoid figure lying beside you."
AvgDialog_19078_Content_27,agXd,avg章4_AvgDialog_C_M.csv,310,AvgDialog,Content,伯特兰,……,...
